,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_learning_rate,param_kernel,param_epochs,param_batch_size,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,mean_train_score,std_train_score
9,3.46357798576355,0.08194113942172285,0.3248772621154785,0.008218420960634219,0.1,0.0001,20,50,"{'learning_rate': 0.1, 'kernel': 0.0001, 'epochs': 20, 'batch_size': 50}",0.8109243697478992,0.8059071729957806,0.8016877637130801,0.8061731021522532,0.0037755142252687886,1,0.8396624472573839,0.8463157894736842,0.8252631578947368,0.8370804648752683,0.008786478204828531
0,1.9920393625895183,0.523976952020318,0.196319580078125,0.03002114995003316,0.1,0.01,20,150,"{'learning_rate': 0.1, 'kernel': 0.01, 'epochs': 20, 'batch_size': 150}",0.7521008403361344,0.7426160337552743,0.759493670886076,0.751403514992495,0.006907887074734,2,0.7489451476793249,0.7621052631578947,0.7431578947368421,0.7514027685246872,0.007928035388646426
6,2.759538491566976,0.9006072941976335,0.22090983390808105,0.04011420062841612,0.001,0.01,30,100,"{'learning_rate': 0.001, 'kernel': 0.01, 'epochs': 30, 'batch_size': 100}",0.680672268907563,0.6666666666666666,0.6708860759493671,0.6727416705078656,0.0058663814460987555,3,0.679324894514768,0.6526315789473685,0.6884210526315789,0.6734591753645719,0.015188298182261506
1,2.4252326488494873,0.045644513344294486,0.20137516657511392,0.05181961150345441,2,20,50,150,"{'learning_rate': 2, 'kernel': 20, 'epochs': 50, 'batch_size': 150}",0.6176470588235294,0.6160337552742616,0.620253164556962,0.6179779928849177,0.001738388466075157,4,0.6181434599156118,0.6189473684210526,0.6168421052631579,0.6179776445332741,0.0008674308029124741
2,3.2058983643849692,0.09574833303567461,0.19480045636494955,0.05354796494860191,0.001,30,30,50,"{'learning_rate': 0.001, 'kernel': 30, 'epochs': 30, 'batch_size': 50}",0.6176470588235294,0.6160337552742616,0.620253164556962,0.6179779928849177,0.001738388466075157,4,0.6181434599156118,0.6189473684210526,0.6168421052631579,0.6179776445332741,0.0008674308029124741
3,6.431013027826945,0.25020514563211116,0.3129149278004964,0.048792177096487754,1,1,50,50,"{'learning_rate': 1, 'kernel': 1, 'epochs': 50, 'batch_size': 50}",0.6176470588235294,0.6160337552742616,0.620253164556962,0.6179779928849177,0.001738388466075157,4,0.6181434599156118,0.6189473684210526,0.6168421052631579,0.6179776445332741,0.0008674308029124741
4,4.566076596577962,0.7038285723974597,0.3226558367411296,0.029899059241814872,0.1,30,20,50,"{'learning_rate': 0.1, 'kernel': 30, 'epochs': 20, 'batch_size': 50}",0.6176470588235294,0.6160337552742616,0.620253164556962,0.6179779928849177,0.001738388466075157,4,0.6181434599156118,0.6189473684210526,0.6168421052631579,0.6179776445332741,0.0008674308029124741
5,4.530088345209758,1.7746310782063692,0.29764382044474286,0.052981434975579215,1,0.001,50,50,"{'learning_rate': 1, 'kernel': 0.001, 'epochs': 50, 'batch_size': 50}",0.6176470588235294,0.6160337552742616,0.620253164556962,0.6179779928849177,0.001738388466075157,4,0.6181434599156118,0.6189473684210526,0.6168421052631579,0.6179776445332741,0.0008674308029124741
7,3.6308719317118325,1.5664968938021941,0.5718361536661783,0.31924456242341126,0.001,1,30,150,"{'learning_rate': 0.001, 'kernel': 1, 'epochs': 30, 'batch_size': 150}",0.6176470588235294,0.6160337552742616,0.620253164556962,0.6179779928849177,0.001738388466075157,4,0.6181434599156118,0.6189473684210526,0.6168421052631579,0.6179776445332741,0.0008674308029124741
8,3.2376983960469565,0.343709183688628,0.28841423988342285,0.025460922529333182,0.001,10,30,100,"{'learning_rate': 0.001, 'kernel': 10, 'epochs': 30, 'batch_size': 100}",0.6176470588235294,0.6160337552742616,0.620253164556962,0.6179779928849177,0.001738388466075157,4,0.6181434599156118,0.6189473684210526,0.6168421052631579,0.6179776445332741,0.0008674308029124741
